signal_name,time,bear_window_id,hours_from_bear_start,conditions_passed,conditions_total,conditions_failed,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,daily_model_ema20_slope_5,daily_model_ema50_slope_5,daily_model_atr,rsi70_streak,ob_streak_not_making_higher_high,rsi_rolling_over,range_pos,hh_8,high,close,open,h1_rsi,h1_ema_20,h1_ret_4,fail_is_early_window,fail_in_session,fail_upper_range_failure,fail_overbought_stall_condition
early_relaxed_signal_B,2020-02-21 15:00:00+00:00,1.0,87.0,2,4,2,0.3983495688875695,0.0184816200664927,55.62909173544952,46.38234795576832,87.80927435946069,79.90245583300748,128.88748333525805,0,0,1,0.1558641975308642,9084.25,9009.75,8985.25,8991.5,30.566079016594344,9060.684882717693,-0.0084147216244551,0,0,1,1
early_relaxed_signal_B,2020-02-21 16:00:00+00:00,1.0,88.0,2,4,2,0.3983495688875695,0.0184816200664927,55.62909173544952,46.38234795576832,87.80927435946069,79.90245583300748,128.88748333525805,0,0,1,0.2543859649122807,9084.25,9007.0,8994.5,8985.75,33.25935151174201,9054.381560554104,-0.0090889060262201,0,0,1,1
early_relaxed_signal_B,2020-02-21 17:00:00+00:00,1.0,89.0,2,4,2,0.3983495688875695,0.0184816200664927,55.62909173544952,46.38234795576832,87.80927435946069,79.90245583300748,128.88748333525805,0,0,1,0.0789473684210526,9084.25,9014.25,8964.5,8994.25,29.29102514946985,9045.821411929905,-0.0111684085707194,0,0,1,1
early_relaxed_signal_B,2020-02-21 18:00:00+00:00,1.0,90.0,2,4,2,0.3983495688875695,0.0184816200664927,55.62909173544952,46.38234795576832,87.80927435946069,79.90245583300748,128.88748333525805,0,0,1,-0.2321428571428571,9084.25,8976.75,8912.0,8964.25,23.913732185384603,9033.076515555627,-0.0088141248435978,0,0,1,1
early_relaxed_signal_B,2020-02-21 19:00:00+00:00,1.0,91.0,2,4,2,0.3983495688875695,0.0184816200664927,55.62909173544952,46.38234795576832,87.80927435946069,79.90245583300748,128.88748333525805,0,0,1,0.1509433962264151,9084.25,8930.0,8922.0,8911.5,26.67498803548412,9022.497799788423,-0.0070393144319857,0,0,1,1
early_relaxed_signal_B,2020-02-21 20:00:00+00:00,1.0,92.0,2,4,2,0.3983495688875695,0.0184816200664927,55.62909173544952,46.38234795576832,87.80927435946069,79.90245583300748,128.88748333525805,0,0,1,0.2007481296758104,9084.25,8950.75,8930.25,8921.75,28.965376165611616,9013.71229504667,-0.0071432542109066,0,0,1,1
early_relaxed_signal_B,2020-02-23 19:00:00+00:00,1.0,139.0,2,4,2,0.5508193569452619,0.0426816634770761,48.75346803692307,43.73533125530674,51.54172442046547,65.2788301140663,131.6276630970253,0,0,0,0.2303732303732303,9014.25,8934.75,8934.75,8934.75,30.261379243429342,8987.609440010987,0.00050390526581,0,0,1,1
early_relaxed_signal_B,2020-02-24 14:00:00+00:00,1.0,158.0,2,4,2,0.6886200417441317,0.0575965010034042,42.26393012969084,42.776163886756905,-3.224154095771155,42.18946422723821,142.43997287580922,0,0,0,0.1721664275466284,8772.25,8668.25,8662.25,8644.75,27.429456152674035,8754.720154801204,0.0042897307324425,0,0,1,1
early_relaxed_signal_B,2020-02-24 15:00:00+00:00,1.0,159.0,2,4,2,0.6886200417441317,0.0575965010034042,42.26393012969084,42.776163886756905,-3.224154095771155,42.18946422723821,142.43997287580922,0,0,0,0.2671800947867299,8771.25,8680.75,8632.25,8662.5,24.890546558439127,8743.056330534422,-0.0043253842382998,0,0,1,1
early_relaxed_signal_B,2020-02-24 16:00:00+00:00,1.0,160.0,2,4,2,0.6886200417441317,0.0575965010034042,42.26393012969084,42.776163886756905,-3.224154095771155,42.18946422723821,142.43997287580922,0,0,0,0.1661649608669476,8741.25,8637.25,8588.5,8632.5,21.73146695400534,8728.336680007335,-0.0091145082203634,0,0,1,1
