signal_time,entry_time,entry,d_rsi10,d_atr7,d_atr14,h1_atr14,pullback_depth_atr,bars_since_20bar_high,close_loc,body_ratio,dist_prev_day_high,dist_prev_day_low,dist_prev_day_close,max_favorable_points,max_adverse_points,final_move_points
2025-12-11 16:00:00+00:00,2025-12-11 17:00:00+00:00,26015.75,56.062393899785924,369.2286434383085,410.04090121656077,100.36978281494056,1.9926315908121002,19.0,0.33583489681050654,0.22889305816135083,-369.0,-27.5,-228.5,361.75,674.75,-422.0
2025-12-11 23:00:00+00:00,2025-12-12 00:00:00+00:00,26187.0,56.062393899785924,369.2286434383085,410.04090121656077,109.64014213747043,1.7420626813901599,1.0,0.26331360946745563,0.5680473372781065,-198.25,143.25,-57.75,32.5,846.0,-551.0
2025-12-12 00:00:00+00:00,2025-12-12 01:00:00+00:00,26162.75,44.227243301843906,400.30312294712155,422.6629797010921,105.02298912765112,2.047170831699299,2.0,0.1388888888888889,0.5444444444444444,-215.0,265.5,-24.0,56.75,821.75,-538.75
2025-12-12 19:00:00+00:00,2025-12-12 20:00:00+00:00,25759.25,44.227243301843906,400.30312294712155,422.6629797010921,100.2638444485088,4.221362170262312,21.0,0.4119718309859155,0.4894366197183099,-618.25,-137.75,-427.25,165.75,585.5,-539.25
2025-12-12 20:00:00+00:00,2025-12-12 21:00:00+00:00,25725.75,44.227243301843906,400.30312294712155,422.6629797010921,101.49499841647246,4.1578403525696315,22.0,0.5531914893617021,0.2872340425531915,-652.0,-171.5,-461.0,199.25,552.0,-451.75
2026-01-29 15:00:00+00:00,2026-01-29 16:00:00+00:00,25576.75,57.47361207699846,376.6691917621753,329.2287994149336,100.17447608112052,7.027738277661729,32.0,0.12255639097744361,0.8646616541353384,-772.25,-419.5,-593.25,463.5,396.5,-85.0
2026-01-29 21:00:00+00:00,2026-01-29 23:00:00+00:00,25994.5,57.47361207699846,376.6691917621753,329.2287994149336,114.04865385710849,2.099980945852017,38.0,0.37398373983739835,0.10840108401084012,-366.5,-13.75,-187.5,33.25,814.25,-566.75
2026-01-29 23:00:00+00:00,2026-01-30 00:00:00+00:00,25971.5,57.47361207699846,376.6691917621753,329.2287994149336,115.54517858160074,2.163655836348412,39.0,0.6518518518518519,0.16666666666666666,-377.0,-24.25,-198.0,56.25,791.25,-595.0
2026-01-30 00:00:00+00:00,2026-01-30 01:00:00+00:00,25930.75,46.37478824991789,383.6093072247217,336.0874565995812,113.4883801114864,2.4209526978012788,40.0,0.25360230547550433,0.48703170028818443,-351.5,393.25,-42.75,97.0,750.5,-491.75
2026-01-30 01:00:00+00:00,2026-01-30 02:00:00+00:00,25852.25,46.37478824991789,383.6093072247217,336.0874565995812,115.20349581780881,2.9903606444792037,41.0,0.4090909090909091,0.5690909090909091,-428.25,316.5,-119.5,175.5,672.0,-438.75
2026-01-30 02:00:00+00:00,2026-01-30 03:00:00+00:00,25844.25,46.37478824991789,383.6093072247217,336.0874565995812,116.22467468796533,1.6906909012871334,42.0,0.8301158301158301,0.06563706563706563,-437.0,307.75,-128.25,183.5,664.0,-411.0
2026-01-30 05:00:00+00:00,2026-01-30 06:00:00+00:00,25833.25,46.37478824991789,383.6093072247217,336.0874565995812,104.27700812298099,1.9850972302146488,45.0,0.03167420814479638,0.47058823529411764,-447.5,297.25,-138.75,194.5,653.0,-362.75
2026-01-30 06:00:00+00:00,2026-01-30 07:00:00+00:00,25751.0,46.37478824991789,383.6093072247217,336.0874565995812,104.13222182848236,2.7753177155483724,46.0,0.14180929095354522,0.8019559902200489,-529.5,215.25,-220.75,276.75,570.75,-248.25
2026-01-30 07:00:00+00:00,2026-01-30 08:00:00+00:00,25709.25,46.37478824991789,383.6093072247217,336.0874565995812,104.15849169787647,3.18264977340065,47.0,0.08133971291866028,0.4043062200956938,-572.0,172.75,-263.25,318.5,529.0,-283.75
