signal_time,trigger,label,return_pct,r_multiple,entry_time,exit_time,exit_reason,prob_target_hit_first,pred_label,fold_train_start,fold_train_end,fold_test_start,fold_test_end,threshold
2022-12-27 12:00:00,atr_breakdown,1,0.3779782662497011,1.5,2022-12-27 13:00:00,2022-12-27 13:00:00,target,0.6221312219110574,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-27 13:00:00,atr_breakdown,1,0.347047677970691,1.5000000000000202,2022-12-27 14:00:00,2022-12-27 14:00:00,target,0.5428702261673152,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-27 14:00:00,atr_breakdown,0,-0.3324463780501108,-0.9999999999999787,2022-12-27 15:00:00,2022-12-27 15:00:00,stop,0.5123691580037698,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2022-12-30 12:00:00,atr_breakdown,1,0.36839990906119,1.4999999999999711,2022-12-30 13:00:00,2022-12-30 14:00:00,target,0.5626692445403841,1,2022-05-01,2022-11-01,2022-11-01,2023-01-01,0.5
2023-01-03 14:00:00,atr_breakdown,1,0.8043288105942015,1.5000000000000133,2023-01-03 15:00:00,2023-01-03 16:00:00,target,0.5698072383411416,1,2022-07-01,2023-01-01,2023-01-01,2023-03-01,0.5
2023-01-03 14:00:00,rsi_rollover,1,0.8043288105942015,1.5000000000000133,2023-01-03 15:00:00,2023-01-03 16:00:00,target,0.5698072383411416,1,2022-07-01,2023-01-01,2023-01-01,2023-03-01,0.5
2023-01-03 16:00:00,atr_breakdown,0,-0.6282391299058276,-0.9999999999999925,2023-01-03 17:00:00,2023-01-03 19:00:00,stop,0.5008820623834715,1,2022-07-01,2023-01-01,2023-01-01,2023-03-01,0.5
2023-01-05 13:00:00,atr_breakdown,1,0.5252799656506824,1.4999999999999931,2023-01-05 14:00:00,2023-01-05 14:00:00,target,0.5487777309309805,1,2022-07-01,2023-01-01,2023-01-01,2023-03-01,0.5
2023-01-06 14:00:00,rsi_rollover,0,-0.4757759328915867,-0.9999999999999949,2023-01-06 15:00:00,2023-01-06 15:00:00,stop,0.5325607296026019,1,2022-07-01,2023-01-01,2023-01-01,2023-03-01,0.5
2023-01-18 15:00:00,rsi_rollover,1,0.6549885757806573,1.499999999999995,2023-01-18 16:00:00,2023-01-18 16:00:00,target,0.5861816667719475,1,2022-07-01,2023-01-01,2023-01-01,2023-03-01,0.5
2022-05-09 19:00:00,atr_breakdown,0,-0.8934501746191703,-1.000000000000007,2022-05-09 20:00:00,2022-05-10 03:00:00,stop,0.5902501969268643,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-11 17:00:00,atr_breakdown,0,-1.0621122059643384,-1.000000000000002,2022-05-11 18:00:00,2022-05-11 18:00:00,stop,0.608242329807664,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-16 14:00:00,atr_breakdown,0,-0.6450320799387677,-0.9999999999999968,2022-05-16 15:00:00,2022-05-16 15:00:00,stop,0.645434846666938,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-18 18:00:00,atr_breakdown,1,1.046172260022371,1.4999999999999907,2022-05-18 19:00:00,2022-05-19 07:00:00,target,0.5768352411034822,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-20 13:00:00,atr_breakdown,1,0.6883723125784114,1.4999999999999953,2022-05-20 14:00:00,2022-05-20 14:00:00,target,0.5843662196791666,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-20 15:00:00,atr_breakdown,1,0.9018917065241494,1.5000000000000038,2022-05-20 16:00:00,2022-05-20 16:00:00,target,0.6227064416408075,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-23 08:00:00,atr_breakdown,0,-0.6467914273724285,-1.0000000000000067,2022-05-23 09:00:00,2022-05-23 13:00:00,stop,0.575967146354734,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-23 13:00:00,atr_breakdown,0,-0.5994182636909873,-0.9999999999999964,2022-05-23 14:00:00,2022-05-23 14:00:00,stop,0.6045425565842987,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-23 22:00:00,atr_breakdown,1,1.3813403251085488,1.5000000000000024,2022-05-23 23:00:00,2022-05-24 13:00:00,target,0.5670312487531237,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-23 22:00:00,rsi_rollover,1,1.3813403251085488,1.5000000000000024,2022-05-23 23:00:00,2022-05-24 13:00:00,target,0.5670312487531237,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-24 14:00:00,atr_breakdown,0,-0.4986507715782573,-1.0000000000000044,2022-05-24 15:00:00,2022-05-24 15:00:00,stop,0.5550026891325768,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-31 07:00:00,atr_breakdown,0,-0.4856631840747916,-1.0000000000000124,2022-05-31 08:00:00,2022-05-31 08:00:00,stop,0.5733080083601944,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-31 12:00:00,atr_breakdown,0,-0.5372867573800622,-0.9999999999999963,2022-05-31 13:00:00,2022-05-31 13:00:00,stop,0.6356213700192526,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-05-31 13:00:00,atr_breakdown,0,-0.6032075432280237,-1.0000000000000069,2022-05-31 14:00:00,2022-05-31 14:00:00,stop,0.56157468311417,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-06-03 15:00:00,atr_breakdown,0,-0.4816524319053883,-0.9999999999999916,2022-06-03 16:00:00,2022-06-03 16:00:00,stop,0.6040591751931002,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-06-06 16:00:00,atr_breakdown,0,-0.47686364254946323,-1.0000000000000127,2022-06-06 17:00:00,2022-06-06 17:00:00,stop,0.6129571667900517,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-06-07 01:00:00,atr_breakdown,0,-0.6291712238566061,-0.9999999999999934,2022-06-07 02:00:00,2022-06-07 14:00:00,stop,0.6368341907534989,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
2022-06-09 12:00:00,atr_breakdown,0,-0.36894190141828487,-1.0000000000000109,2022-06-09 13:00:00,2022-06-09 13:00:00,stop,0.5911084712490825,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.55
