signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_factor,force_exit,capital_before,capital_after
2022-09-02 16:00:00,atr_breakdown,2022-09-02 17:00:00,12378.0,2022-09-02 17:00:00,12227.5,tightened_stop,1,301.0,1.2308321406665268,1.505,0.6068317501286705,200.0,either,35,1.1,1.0,False,11154.5,11455.5
2022-09-02 17:00:00,atr_breakdown,2022-09-02 18:00:00,12229.5,2022-09-02 18:00:00,12224.0,tightened_stop,1,11.0,0.04499345549737743,0.055,0.6539828301843296,200.0,either,35,1.1,1.0,False,11455.5,11466.5
2022-09-06 13:00:00,atr_breakdown,2022-09-06 14:00:00,12188.0,2022-09-06 14:00:00,12072.5,tightened_stop,1,231.0,0.9567198177676595,1.155,0.5291076889276993,200.0,either,35,1.1,1.0,False,11466.5,11697.5
2022-09-13 12:00:00,atr_breakdown,2022-09-13 13:00:00,12518.0,2022-09-13 13:00:00,12447.5,tightened_stop,1,141.0,0.5663787909218732,0.705,0.5163210775629932,200.0,either,35,1.1,1.0,False,11697.5,11838.5
2022-09-13 12:00:00,rsi_rollover,2022-09-13 13:00:00,12518.0,2022-09-13 13:00:00,12447.5,tightened_stop,1,141.0,0.5663787909218732,0.705,0.5163210775629932,200.0,either,35,1.1,1.0,False,11838.5,11979.5
2022-09-13 13:00:00,atr_breakdown,2022-09-13 14:00:00,12448.0,2022-09-13 14:00:00,12353.25,tightened_stop,1,189.5,0.7670046344079529,0.9475,0.5520485219496261,200.0,either,35,1.1,1.0,False,11979.5,12169.0
2022-09-13 14:00:00,atr_breakdown,2022-09-13 15:00:00,12370.25,2022-09-13 15:00:00,12324.0,tightened_stop,1,92.5,0.37528399870172535,0.4625,0.5389504823011346,200.0,either,35,1.1,1.0,False,12169.0,12261.5
2022-09-20 17:00:00,atr_breakdown,2022-09-20 18:00:00,11881.75,2022-09-20 19:00:00,11981.75,stop,2,-200.0,-0.8346026248252536,-1.0,0.5924920038576225,200.0,either,35,1.1,1.0,False,12261.5,12061.5
2022-09-21 19:00:00,rsi_rollover,2022-09-21 20:00:00,11753.0,2022-09-21 20:00:00,11693.25,tightened_stop,1,119.5,0.5109785560045266,0.5975,0.6784263675718225,200.0,either,35,1.1,1.0,False,12061.5,12181.0
2022-09-21 19:00:00,atr_breakdown,2022-09-21 20:00:00,11753.0,2022-09-21 20:00:00,11693.25,tightened_stop,1,119.5,0.5109785560045266,0.5975,0.6784263675718225,200.0,either,35,1.1,1.0,False,12181.0,12300.5
2022-09-27 15:00:00,atr_breakdown,2022-09-27 16:00:00,11391.25,2022-09-27 16:00:00,11279.75,tightened_stop,1,223.0,0.9884970854850517,1.115,0.5191314894203926,200.0,either,35,1.1,1.0,False,12300.5,12523.5
2022-09-27 16:00:00,atr_breakdown,2022-09-27 17:00:00,11346.25,2022-09-27 17:00:00,11288.5,tightened_stop,1,115.5,0.5115825840457111,0.5775,0.6231563072403818,200.0,either,35,1.1,1.0,False,12523.5,12639.0
2022-09-28 01:00:00,atr_breakdown,2022-09-28 02:00:00,11319.0,2022-09-28 02:00:00,11230.25,tightened_stop,1,177.5,0.7902762627724158,0.8875,0.5998118695628266,200.0,either,35,1.1,1.0,False,12639.0,12816.5
2022-09-28 02:00:00,atr_breakdown,2022-09-28 03:00:00,11263.5,2022-09-28 03:00:00,11260.0,tightened_stop,1,7.0,0.031083481349902797,0.035,0.6573276516350591,200.0,either,35,1.1,1.0,False,12816.5,12823.5
2022-09-29 07:00:00,atr_breakdown,2022-09-29 08:00:00,11436.25,2022-09-29 08:00:00,11422.25,tightened_stop,1,28.0,0.12256779531178985,0.14,0.7075124981512567,200.0,either,35,1.1,1.0,False,12823.5,12851.5
