family,signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,capital_before,capital_after
trail_only_no_target,2024-08-01 17:00:00,atr_breakdown,2024-08-01 18:00:00,19237.0,2024-08-01 18:00:00,19161.75,trail_or_tightened_stop,1,150.5,0.3927094341591886,0.6084319953797286,0.7442610172795767,247.35714285714286,9274.178571428576,9424.678571428576
trail_only_no_target,2024-08-01 18:00:00,atr_breakdown,2024-08-01 19:00:00,19109.75,2024-08-01 19:00:00,19105.875,trail_or_tightened_stop,1,7.75,0.02028171962813463,0.029045643153526972,0.7230923909773794,266.82142857142856,9424.678571428576,9432.428571428576
trail_only_no_target,2024-08-06 20:00:00,atr_breakdown,2024-08-06 22:00:00,18258.75,2024-08-06 22:00:00,18252.375,trail_or_tightened_stop,1,12.75,0.03492696155980024,0.04149232914923292,0.5095633447426604,307.2857142857143,9432.428571428576,9445.178571428576
trail_only_no_target,2024-08-07 16:00:00,atr_breakdown,2024-08-07 17:00:00,18500.25,2024-08-07 17:00:00,18406.625,trail_or_tightened_stop,1,187.25,0.508648380678145,0.8573998364677023,0.6720908033127236,218.39285714285714,9445.178571428576,9632.428571428576
trail_only_no_target,2024-08-07 17:00:00,atr_breakdown,2024-08-07 18:00:00,18334.25,2024-08-07 18:00:00,18276.375,trail_or_tightened_stop,1,115.75,0.3166656407520563,0.4868559411146162,0.6076076620702072,237.75,9632.428571428576,9748.178571428576
trail_only_no_target,2024-08-07 19:00:00,atr_breakdown,2024-08-07 20:00:00,18190.25,2024-08-07 20:00:00,18121.5,trail_or_tightened_stop,1,137.5,0.37938360510996194,0.5245946314211746,0.7113067735786298,262.10714285714283,9748.178571428576,9885.678571428576
trail_only_no_target,2024-08-07 20:00:00,atr_breakdown,2024-08-07 22:00:00,18099.75,2024-08-07 22:00:00,18089.125,trail_or_tightened_stop,1,21.25,0.05873694830458298,0.0779816513761468,0.7282725148205597,272.5,9885.678571428576,9906.928571428576
trail_only_no_target,2025-03-03 14:00:00,rsi_rollover,2025-03-03 15:00:00,21417.25,2025-03-03 15:00:00,21385.625,trail_or_tightened_stop,1,63.25,0.1478797089166095,0.39069049194793737,0.5912094054351246,161.89285714285714,9906.928571428576,9970.178571428576
trail_only_no_target,2025-03-03 14:00:00,atr_breakdown,2025-03-03 15:00:00,21417.25,2025-03-03 15:00:00,21385.625,trail_or_tightened_stop,1,63.25,0.1478797089166095,0.39069049194793737,0.5912094054351246,161.89285714285714,9970.178571428576,10033.428571428576
trail_only_no_target,2025-03-03 18:00:00,atr_breakdown,2025-03-03 19:00:00,21339.25,2025-03-03 19:00:00,21266.125,trail_or_tightened_stop,1,146.25,0.34385672048857785,0.6231928169228428,0.5470051977146537,234.67857142857142,10033.428571428576,10179.678571428576
trail_only_no_target,2025-03-03 19:00:00,atr_breakdown,2025-03-03 20:00:00,21200.25,2025-03-03 20:00:00,21056.0,trail_or_tightened_stop,1,288.5,0.6850778875379993,1.1180622837370242,0.5696987189349341,258.0357142857143,10179.678571428576,10468.178571428576
trail_only_no_target,2025-03-03 20:00:00,atr_breakdown,2025-03-03 21:00:00,21064.75,2025-03-03 21:00:00,21061.75,trail_or_tightened_stop,1,6.0,0.014243830640858768,0.0206794682422452,0.6207223547590147,290.14285714285717,10468.178571428576,10474.178571428576
