time,open,high,low,close,tick_volume,spread,real_volume,ema100,ema_slope_n,ret_1d,above_ema,below_ema,above_rising,below_falling,buyhold_position,long_only_above,short_only_below_falling,long_above_short_below_falling
2021-08-29,15189.0,15220.75,15187.0,15213.5,9632,25,10953,14384.196238362478,151.97445246154894,-0.013903292714544935,True,False,True,False,1,1,0,1
2021-08-30,15213.5,15378.75,15181.0,15359.25,416970,25,553435,14403.504233642429,162.46010686824957,0.009580306964209528,True,False,True,False,1,1,0,1
2021-08-31,15359.75,15438.25,15275.0,15357.75,590526,0,733613,14422.400189411885,169.17871861343338,-9.766101860442244e-05,True,False,True,False,1,1,0,1
2021-09-01,15358.0,15459.0,15338.75,15379.5,498767,25,633293,14441.352660908678,175.9474568587102,0.001416223079552692,True,False,True,False,1,1,0,1
2021-09-02,15380.0,15443.25,15312.25,15358.0,522019,25,681665,14459.504093365931,177.76037850507055,-0.0013979648233037878,True,False,True,False,1,1,0,1
2021-09-03,15358.5,15438.5,15313.0,15414.5,523469,0,648140,14478.414903398289,180.10175714853358,0.0036788644354732725,True,False,True,False,1,1,0,1
2021-09-05,15414.75,15424.75,15409.75,15411.25,5000,25,6015,14496.886885509213,182.2433065119294,-0.0002108404424405741,True,False,True,False,1,1,0,1
2021-09-06,15411.5,15469.75,15403.0,15449.75,67007,0,87715,14515.755462033783,186.768191531497,0.0024981750344714726,True,False,True,False,1,1,0,1
2021-09-07,15450.0,15462.5,15368.0,15423.0,500675,25,683851,14533.72070040935,187.70347486750507,-0.0017314196022589767,True,False,True,False,1,1,0,1
2021-09-08,15423.5,15452.0,15284.5,15361.0,678490,0,862490,14550.102468718076,182.65984170181218,-0.0040199701744148,True,False,True,False,1,1,0,1
2021-09-09,15361.25,15437.5,15306.75,15324.75,639926,0,802317,14565.442023792964,181.24578543048665,-0.002359872404140373,True,False,True,False,1,1,0,1
2021-09-10,15324.5,15428.5,15194.5,15204.5,338871,25,432993,14578.096637183202,174.59240354077338,-0.00784678379745185,True,False,True,False,1,1,0,1
2021-09-12,15204.5,15256.5,15204.5,15252.75,7957,0,8959,14591.456109714229,169.05592030234402,0.0031734026110690206,True,False,True,False,1,1,0,1
2021-09-13,15253.0,15326.0,15111.5,15213.0,274850,0,315402,14603.763909521867,162.41124861318895,-0.0026060874268574175,True,False,True,False,1,1,0,1
2021-09-14,15213.0,15291.75,15113.25,15175.0,201581,0,225341,14615.07551527391,155.57142190797822,-0.002497863669230216,True,False,True,False,1,1,0,1
2021-09-15,15175.5,15283.0,15075.5,15271.0,146217,0,155787,14628.064118931852,149.64921553356362,0.0063261943986820945,True,False,True,False,1,1,0,1
2021-09-16,15270.25,15303.0,15129.75,15252.0,111693,0,123535,14640.419284893596,143.5323993843831,-0.0012441883308231816,True,False,True,False,1,1,0,1
2021-09-17,15252.75,15302.5,15235.0,15285.0,4823,25,6188,14653.183259450157,137.42779741637423,0.0021636506687647827,True,False,True,False,1,1,0,1
2021-09-18,15383.0,15383.0,15383.0,15383.0,2,500,4,14667.635076094708,133.9143756853573,0.006411514556754927,True,False,True,False,1,1,0,1
2021-09-19,15383.0,15426.5,15380.5,15423.5,15861,0,17901,14682.60269835026,132.50022963218362,0.0026327764415263744,True,False,True,False,1,1,0,1
2021-09-20,15423.25,15436.0,14905.5,15127.5,1081992,0,1202187,14691.41254590768,125.970522114716,-0.019191493500178347,True,False,True,False,1,1,0,1
2021-09-21,15127.25,15261.5,15061.75,15071.0,898022,0,999454,14698.929129157033,120.83249197383157,-0.0037349198479590395,True,False,True,False,1,1,0,1
2021-09-22,15071.25,15325.0,15027.25,15289.75,800116,0,879704,14710.628552342043,119.17244262781423,0.014514630747793689,True,False,True,False,1,1,0,1
2021-09-23,15289.5,15444.75,15273.5,15402.5,602880,0,678628,14724.32897704814,120.5650675262732,0.007374221292042016,True,False,True,False,1,1,0,1
2021-09-24,15402.5,15432.0,15274.75,15415.25,586345,25,651756,14738.01058146303,122.93506618912033,0.0008277876968023623,True,False,True,False,1,1,0,1
2021-09-26,15416.75,15428.0,15399.25,15416.0,11740,25,13742,14751.436114503365,123.37199557151325,4.8653119475883244e-05,True,False,True,False,1,1,0,1
