signal_time,trigger,label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,bars_held,return_pct,r_multiple,pnl_usd,rf_prob,capital_before,capital_after
2022-09-29 14:00:00,atr_breakdown,1,2022-09-29 15:00:00,11261.5,11333.55357142857,11153.419642857143,2022-09-29 18:00:00,11153.419642857143,target,4,0.9690333602042189,1.4999999999999964,216.16071428571377,0.7138265381759701,5231.249999999996,5447.41071428571
2022-09-30 19:00:00,atr_breakdown,1,2022-09-30 20:00:00,11085.0,11173.910714285714,10951.63392857143,2022-10-03 00:00:00,10951.63392857143,target,4,1.2177732774708128,1.4999999999999911,266.7321428571413,0.6941952318810551,5447.41071428571,5714.142857142851
2022-10-07 13:00:00,atr_breakdown,1,2022-10-07 14:00:00,11272.5,11336.285714285714,11176.82142857143,2022-10-07 16:00:00,11176.82142857143,target,3,0.8560445564960606,1.4999999999999878,191.3571428571413,0.6237159812006509,5714.142857142851,5905.499999999993
2022-10-07 15:00:00,atr_breakdown,1,2022-10-07 16:00:00,11233.5,11304.07142857143,11127.642857142857,2022-10-07 19:00:00,11127.642857142857,target,4,0.9512988888674911,1.5000000000000038,211.71428571428623,0.6579455775036547,5905.499999999993,6117.214285714279
2022-10-07 16:00:00,atr_breakdown,1,2022-10-07 17:00:00,11182.75,11256.589285714286,11071.99107142857,2022-10-09 22:00:00,11071.99107142857,target,5,1.0003524014505771,1.5000000000000107,221.5178571428587,0.6207050884705836,6117.214285714279,6338.732142857138
2022-10-10 16:00:00,atr_breakdown,0,2022-10-10 17:00:00,10953.25,11020.410714285714,10852.50892857143,2022-10-10 17:00:00,11020.410714285714,stop,1,-0.6094211552265749,-0.9999999999999921,-134.32142857142753,0.5280376448992765,6338.732142857138,6204.41071428571
2022-10-14 14:00:00,atr_breakdown,1,2022-10-14 15:00:00,10963.75,11061.892857142857,10816.535714285714,2022-10-14 18:00:00,10816.535714285714,target,4,1.3610114144019025,1.5000000000000053,294.42857142857247,0.6704848243174834,6204.41071428571,6498.839285714283
2022-10-14 15:00:00,atr_breakdown,0,2022-10-14 16:00:00,10879.25,10980.625,10727.1875,2022-10-17 12:00:00,10980.625,stop,20,-0.9232170299960152,-1.0,-202.75,0.7187543373539836,6498.839285714283,6296.089285714283
2022-11-01 13:00:00,atr_breakdown,1,2022-11-01 14:00:00,11563.75,11600.910714285714,11508.00892857143,2022-11-01 14:00:00,11508.00892857143,target,1,0.4843676414794995,1.4999999999999791,111.4821428571413,0.5710335103680247,6296.089285714283,6407.571428571424
2022-11-01 14:00:00,atr_breakdown,0,2022-11-01 15:00:00,11404.0,11451.964285714286,11332.05357142857,2022-11-01 16:00:00,11451.964285714286,stop,2,-0.41883020692021766,-1.0000000000000109,-95.92857142857247,0.6239465362904449,6407.571428571424,6311.642857142851
