signal,mode,stop_points,time_exit_h,r_mult,entry_time,exit_time,entry_price,exit_price,gross_points,net_dollars,exit_reason,bear_window_id,hours_from_bear_start,rsi70_context_tag_v3,stall_or_reject_tag_v3
signal_v3_A_core,stop_time,200.0,24,,2024-07-15 15:00:00+00:00,2024-07-16 16:00:00+00:00,20918.25,20763.5,154.75,308.0,time_exit_24h,10.0,135.0,0,0
signal_v3_A_core,stop_time,200.0,48,,2024-07-15 15:00:00+00:00,2024-07-17 17:00:00+00:00,20918.25,20252.75,665.5,1329.5,time_exit_48h,10.0,135.0,0,0
signal_v3_A_core,stop_target,200.0,48,1.0,2024-07-15 15:00:00+00:00,2024-07-16 14:00:00+00:00,20918.25,20716.25,202.0,402.5,target_1.0R,10.0,135.0,0,0
signal_v3_A_core,stop_target,200.0,48,1.5,2024-07-15 15:00:00+00:00,2024-07-17 07:00:00+00:00,20918.25,20616.25,302.0,602.5,target_1.5R,10.0,135.0,0,0
signal_v3_A_core,stop_target,200.0,48,2.0,2024-07-15 15:00:00+00:00,2024-07-17 11:00:00+00:00,20918.25,20516.25,402.0,802.5,target_2.0R,10.0,135.0,0,0
signal_v3_A_core,stop_time,300.0,6,,2024-07-15 15:00:00+00:00,2024-07-15 22:00:00+00:00,20918.25,20855.5,62.75,124.0,time_exit_6h,10.0,135.0,0,0
signal_v3_A_core,stop_time,300.0,12,,2024-07-15 15:00:00+00:00,2024-07-16 04:00:00+00:00,20918.25,20859.75,58.5,115.5,time_exit_12h,10.0,135.0,0,0
signal_v3_A_core,stop_time,300.0,24,,2024-07-15 15:00:00+00:00,2024-07-16 16:00:00+00:00,20918.25,20763.5,154.75,308.0,time_exit_24h,10.0,135.0,0,0
signal_v3_A_core,stop_time,300.0,48,,2024-07-15 15:00:00+00:00,2024-07-17 17:00:00+00:00,20918.25,20252.75,665.5,1329.5,time_exit_48h,10.0,135.0,0,0
signal_v3_A_core,stop_target,300.0,48,1.0,2024-07-15 15:00:00+00:00,2024-07-17 07:00:00+00:00,20918.25,20616.25,302.0,602.5,target_1.0R,10.0,135.0,0,0
